ID,Acronym,Name,Sector,Type,Saved_Filename,File_Size_Bytes,Official_Logo_URL,Audit_Status,Classification,Audit_Notes
43,NCB,Narcotics Control Bureau (NCB),Defence & Security,Armed Forces / Paramilitary,043_NCB_Narcotics_Control_Bureau_(NCB).png,112633,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Narcotics_Control_Bureau_logo.png/220px-Narcotics_Control_Bureau_logo.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
44,NCC,National Cadet Corps (NCC),Defence & Security,Armed Forces / Paramilitary,044_NCC_National_Cadet_Corps_(NCC).png,169874,https://upload.wikimedia.org/wikipedia/commons/0/00/National_Cadet_Corps_%28India%29_logo.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
45,NIA,National Investigation Agency (NIA),Defence & Security,Armed Forces / Paramilitary,045_NIA_National_Investigation_Agency_(NIA).png,694400,https://upload.wikimedia.org/wikipedia/commons/9/90/National_Investigation_Agency_Logo.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
46,NSG,National Security Guard (NSG),Defence & Security,Armed Forces / Paramilitary,046_NSG_National_Security_Guard_(NSG).svg,321268,https://upload.wikimedia.org/wikipedia/commons/4/4f/National_Security_Guard-India.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
47,SSB,Sashastra Seema Bal (SSB),Defence & Security,Armed Forces / Paramilitary,047_SSB_Sashastra_Seema_Bal_(SSB).svg,457842,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sashastra_Seema_Bal.svg,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
48,AMU,Aligarh Muslim University (AMU),Education & Research,Central University,048_AMU_Aligarh_Muslim_University_(AMU).png,189507,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Aligarh_Muslim_University_logo.png/250px-Aligarh_Muslim_University_logo.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
49,BHU,Banaras Hindu University (BHU),Education & Research,Central University,049_BHU_Banaras_Hindu_University_(BHU).png,58015,https://upload.wikimedia.org/wikipedia/commons/a/a7/BHU_Logo_with_Tagline_Hindi_Banaras_Hindu_University.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
50,JMI,Jamia Millia Islamia (JMI),Education & Research,Central University,050_JMI_Jamia_Millia_Islamia_(JMI).svg,168514,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Jamia_Millia_Islamia_Logo.svg/250px-Jamia_Millia_Islamia_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
51,JNU,Jawaharlal Nehru University (JNU),Education & Research,Central University,051_JNU_Jawaharlal_Nehru_University_(JNU).webp,10928,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Jawaharlal_Nehru_University_logo.svg/250px-Jawaharlal_Nehru_University_logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
52,DU,University of Delhi (DU),Education & Research,Central University,052_DU_University_of_Delhi_(DU).png,107168,https://upload.wikimedia.org/wikipedia/commons/6/62/Delhi_University%27s_official_logo.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
53,IIM,Indian Institute of Management Ahmedabad (IIM),Education & Research,IIM,053_IIM_Indian_Institute_of_Management_Ahmedabad_(IIM).svg,27172,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/IIM%2C_Ahmedabad_Logo.svg/250px-IIM%2C_Ahmedabad_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
54,IIM,Indian Institute of Management Bangalore (IIM),Education & Research,IIM,054_IIM_Indian_Institute_of_Management_Bangalore_(IIM).svg,21400,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/IIM_Bangalore_Logo.svg/250px-IIM_Bangalore_Logo.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
55,IIM,Indian Institute of Management Calcutta (IIM),Education & Research,IIM,055_IIM_Indian_Institute_of_Management_Calcutta_IIMC.svg,21566,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/IIMC_LOGO.svg/250px-IIMC_LOGO.svg.png,DOWNLOADED,VERIFIED_SPECIFIC,Verified authentic specific organization logo
